,2,3,4,5,6,9,10,11,12,16,17,18,19,20,23,24,25,26,27,30
9,31,23,25,26,26,31,23,25,26,31,23,25,26,26,31,23,25,26,26,31
9.5,27,26,30,28,21,27,26,30,28,27,26,30,28,21,27,26,30,28,21,27
10,31,25,26,22,23,31,25,26,22,31,25,26,22,23,31,25,26,22,23,31
10.5,29,30,32,29,27,29,30,32,29,29,30,32,29,27,29,30,32,29,27,29
11,31,28,27,23,25,31,28,27,23,31,28,27,23,25,31,28,27,23,25,31
11.5,29,28,26,24,23,29,28,26,24,29,28,26,24,23,29,28,26,24,23,29
12,23,18,18,18,16,23,18,18,18,23,18,18,18,16,23,18,18,18,16,23
12.5,19,15,17,15,16,19,15,17,15,19,15,17,15,16,19,15,17,15,16,19
13,19,22,18,18,17,19,22,18,18,19,22,18,18,17,19,22,18,18,17,19
13.5,29,24,21,21,21,29,24,21,21,29,24,21,21,21,29,24,21,21,21,29
14,30,25,26,27,23,30,25,26,27,30,25,26,27,23,30,25,26,27,23,30
14.5,27,24,23,25,22,27,24,23,25,27,24,23,25,22,27,24,23,25,22,27
15,30,25,23,23,23,30,25,23,23,30,25,23,23,23,30,25,23,23,23,30
15.5,27,24,24,21,21,27,24,24,21,27,24,24,21,21,27,24,24,21,21,27
16,28,25,26,20,22,28,25,26,20,28,25,26,20,22,28,25,26,20,22,28
16.5,25,24,21,23,20,25,24,21,23,25,24,21,23,20,25,24,21,23,20,25
17,17,20,19,18,16,17,20,19,18,17,20,19,18,16,17,20,19,18,16,17
17.5,15,14,15,14,14,15,14,15,14,15,14,15,14,14,15,14,15,14,14,15
18,12,10,11,11,13,12,10,11,11,12,10,11,11,13,12,10,11,11,13,12
18.5,9,11,9,9,9,9,11,9,9,9,11,9,9,9,9,11,9,9,9,9
19,10,12,9,9,8,10,12,9,9,10,12,9,9,8,10,12,9,9,8,10
19.5,11,12,8,9,9,11,12,8,9,11,12,8,9,9,11,12,8,9,9,11
20,11,10,11,10,10,11,10,11,10,11,10,11,10,10,11,10,11,10,10,11
20.5,8,9,8,9,5,8,9,8,9,8,9,8,9,5,8,9,8,9,5,8
